type,img,name,link,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Zooko_Wilcox.png,Zooko Wilcox,zooko-wilcox-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Liz_Lambert.png,Liz Lambert,liz-lambert-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Demis_Hassabis.png,Demis Hassabis,demis-hassabis-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Biz_Stone.png,Biz Stone,biz-stone-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Tony_Hsieh.png,Tony Hsieh,tony-hsieh-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Laura_R_Walker.png,Laura R Walker,laura-r-walker-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Peter_Diamandis.png,Peter Diamandis,peter-diamandis-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Jason_Fried.png,Jason Fried,jason-fried-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Joe_Gebbia.png,Joe Gebbia,joe-gebbia-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Jacqueline_Novogratz.png,Jacqueline Novogratz,jacqueline-novogratz-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Jim_Kwik.png,Jim Kwik,jim-kwik-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Sophia_Amoruso.png,Sophia Amoruso,sophia-amoruso-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Phil_Libin.png,Phil Libin,phil-libin-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Jerry_Colonna.png,Jerry Colonna,jerry-colonna-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Ryan_Shea.png,Ryan Shea,ryan-shea-books,,,
